date,time,check,project,status,retries,duration_ms
2026-09-23,11:34:38,Jeans (Selvedge Denim) — Meta Pixel fires PageView/ViewContent on page load,desktop-chrome,passed,0,7104
2026-09-23,11:34:38,Jeans (Selvedge Denim) — Meta Pixel fires AddToCart on add-to-cart click,desktop-chrome,passed,0,9939
2026-09-23,11:34:38,Hat (Green & Leopard) — Meta Pixel fires PageView/ViewContent on page load,desktop-chrome,passed,0,6242
2026-09-23,11:34:38,Hat (Green & Leopard) — Meta Pixel fires AddToCart on add-to-cart click,desktop-chrome,passed,0,9118
2026-09-23,11:34:38,Hat (Black & Zebra) — Meta Pixel fires PageView/ViewContent on page load,desktop-chrome,passed,0,6633
2026-09-23,11:34:38,Hat (Black & Zebra) — Meta Pixel fires AddToCart on add-to-cart click,desktop-chrome,passed,0,9215
2026-09-23,11:34:38,Jeans (Selvedge Denim) — Meta Pixel fires PageView/ViewContent on page load,mobile,passed,0,6875
2026-09-23,11:34:38,Jeans (Selvedge Denim) — Meta Pixel fires AddToCart on add-to-cart click,mobile,passed,0,9117
2026-09-23,11:34:38,Hat (Green & Leopard) — Meta Pixel fires PageView/ViewContent on page load,mobile,passed,0,6777
2026-09-23,11:34:38,Hat (Green & Leopard) — Meta Pixel fires AddToCart on add-to-cart click,mobile,passed,0,9335
2026-09-23,11:34:38,Hat (Black & Zebra) — Meta Pixel fires PageView/ViewContent on page load,mobile,passed,0,6558
2026-09-23,11:34:38,Hat (Black & Zebra) — Meta Pixel fires AddToCart on add-to-cart click,mobile,passed,0,9041
2026-09-23,11:34:38,"Jeans (Selvedge Denim) — loads, no broken images, SEO basics present",desktop-chrome,passed,0,4606
2026-09-23,11:34:38,"Hat (Green & Leopard) — loads, no broken images, SEO basics present",desktop-chrome,passed,0,4382
2026-09-23,11:34:38,"Hat (Black & Zebra) — loads, no broken images, SEO basics present",desktop-chrome,passed,0,5964
2026-09-23,11:34:38,"Homepage — loads, no broken images, SEO basics present",desktop-chrome,passed,0,5269
2026-09-23,11:34:38,"Checkout entry (cart) — loads, no broken images, SEO basics present",desktop-chrome,passed,0,4458
2026-09-23,11:34:38,"FAQ / Contact — loads, no broken images, SEO basics present",desktop-chrome,passed,0,4539
2026-09-23,11:34:38,Jeans (Selvedge Denim) — price and add-to-cart present and working,desktop-chrome,passed,0,4933
2026-09-23,11:34:38,Hat (Green & Leopard) — price and add-to-cart present and working,desktop-chrome,passed,0,4698
2026-09-23,11:34:38,Hat (Black & Zebra) — price and add-to-cart present and working,desktop-chrome,passed,0,4514
2026-09-23,11:34:38,Jeans (Selvedge Denim) — mobile layout screenshot,desktop-chrome,skipped,0,84
2026-09-23,11:34:38,Hat (Green & Leopard) — mobile layout screenshot,desktop-chrome,skipped,0,62
2026-09-23,11:34:38,Hat (Black & Zebra) — mobile layout screenshot,desktop-chrome,skipped,0,80
2026-09-23,11:34:38,"Jeans (Selvedge Denim) — loads, no broken images, SEO basics present",mobile,passed,0,4822
2026-09-23,11:34:38,"Hat (Green & Leopard) — loads, no broken images, SEO basics present",mobile,passed,0,4508
2026-09-23,11:34:38,"Hat (Black & Zebra) — loads, no broken images, SEO basics present",mobile,passed,0,4585
2026-09-23,11:34:38,"Homepage — loads, no broken images, SEO basics present",mobile,passed,0,4509
2026-09-23,11:34:38,"Checkout entry (cart) — loads, no broken images, SEO basics present",mobile,passed,0,4305
2026-09-23,11:34:38,"FAQ / Contact — loads, no broken images, SEO basics present",mobile,passed,0,4232
2026-09-23,11:34:38,Jeans (Selvedge Denim) — price and add-to-cart present and working,mobile,passed,0,4182
2026-09-23,11:34:38,Hat (Green & Leopard) — price and add-to-cart present and working,mobile,passed,0,4354
2026-09-23,11:34:38,Hat (Black & Zebra) — price and add-to-cart present and working,mobile,passed,0,4199
2026-09-23,11:34:38,Jeans (Selvedge Denim) — mobile layout screenshot,mobile,passed,0,4308
2026-09-23,11:34:38,Hat (Green & Leopard) — mobile layout screenshot,mobile,passed,0,4302
2026-09-23,11:34:38,Hat (Black & Zebra) — mobile layout screenshot,mobile,passed,0,4005
2026-09-23,11:41:19,Jeans (Selvedge Denim) — Meta Pixel fires PageView/ViewContent on page load,desktop-chrome,passed,0,8364
2026-09-23,11:41:19,Jeans (Selvedge Denim) — Meta Pixel fires AddToCart on add-to-cart click,desktop-chrome,passed,0,11625
2026-09-23,11:41:19,Hat (Green & Leopard) — Meta Pixel fires PageView/ViewContent on page load,desktop-chrome,passed,0,6959
2026-09-23,11:41:19,Hat (Green & Leopard) — Meta Pixel fires AddToCart on add-to-cart click,desktop-chrome,passed,0,10564
2026-09-23,11:41:19,Hat (Black & Zebra) — Meta Pixel fires PageView/ViewContent on page load,desktop-chrome,passed,0,8079
2026-09-23,11:41:19,Hat (Black & Zebra) — Meta Pixel fires AddToCart on add-to-cart click,desktop-chrome,passed,0,10710
2026-09-23,11:41:19,Jeans (Selvedge Denim) — Meta Pixel fires PageView/ViewContent on page load,mobile,passed,0,8310
2026-09-23,11:41:19,Jeans (Selvedge Denim) — Meta Pixel fires AddToCart on add-to-cart click,mobile,passed,0,10437
2026-09-23,11:41:19,Hat (Green & Leopard) — Meta Pixel fires PageView/ViewContent on page load,mobile,passed,0,8061
2026-09-23,11:41:19,Hat (Green & Leopard) — Meta Pixel fires AddToCart on add-to-cart click,mobile,passed,0,10410
2026-09-23,11:41:19,Hat (Black & Zebra) — Meta Pixel fires PageView/ViewContent on page load,mobile,passed,0,7180
2026-09-23,11:41:19,Hat (Black & Zebra) — Meta Pixel fires AddToCart on add-to-cart click,mobile,passed,0,10209
2026-09-23,11:41:19,"Jeans (Selvedge Denim) — loads, no broken images, SEO basics present",desktop-chrome,passed,0,5781
2026-09-23,11:41:19,"Hat (Green & Leopard) — loads, no broken images, SEO basics present",desktop-chrome,passed,0,5380
2026-09-23,11:41:19,"Hat (Black & Zebra) — loads, no broken images, SEO basics present",desktop-chrome,passed,0,5662
2026-09-23,11:41:19,"Homepage — loads, no broken images, SEO basics present",desktop-chrome,passed,0,5442
2026-09-23,11:41:19,"Checkout entry (cart) — loads, no broken images, SEO basics present",desktop-chrome,passed,0,5340
2026-09-23,11:41:19,"FAQ / Contact — loads, no broken images, SEO basics present",desktop-chrome,passed,0,5149
2026-09-23,11:41:19,Jeans (Selvedge Denim) — price and add-to-cart present and working,desktop-chrome,passed,0,6126
2026-09-23,11:41:19,Hat (Green & Leopard) — price and add-to-cart present and working,desktop-chrome,passed,0,6325
2026-09-23,11:41:19,Hat (Black & Zebra) — price and add-to-cart present and working,desktop-chrome,passed,0,5995
